Trd, 000006.438, 117
Trd, 000008.750, 114
Trd, 000009.837, 111
Trd, 000010.525, 110
Trd, 000011.325, 108
Trd, 000013.525, 104
Trd, 000013.650, 106
Trd, 000014.412, 106
Trd, 000014.650, 106
Trd, 000015.687, 106
Trd, 000017.125, 109
Trd, 000017.675, 104
Trd, 000019.425, 105
Trd, 000021.812, 108
Trd, 000023.225, 109
Trd, 000023.462, 108
Trd, 000026.112, 109
Trd, 000030.400, 109
Trd, 000031.850, 108
Trd, 000034.412, 107
Trd, 000034.987, 106
Trd, 000036.375, 106
Trd, 000036.450, 106
Trd, 000037.125, 106
Trd, 000038.100, 105
Trd, 000039.150, 104
Trd, 000039.575, 103
Trd, 000040.288, 103
Trd, 000041.475, 104
Trd, 000044.163, 102
Trd, 000044.788, 102
Trd, 000045.038, 108
Trd, 000046.675, 102
Trd, 000048.950, 106
Trd, 000051.925, 103
Trd, 000053.913, 105
Trd, 000054.038, 105
Trd, 000054.250, 105
Trd, 000055.200, 103
Trd, 000060.075, 102
Trd, 000060.363, 104
Trd, 000060.500, 105
Trd, 000061.825, 104
Trd, 000062.738, 103
Trd, 000063.750, 102
Trd, 000064.238, 102
Trd, 000065.388, 101
Trd, 000068.338, 103
Trd, 000068.488, 102
Trd, 000068.775, 100
Trd, 000069.475, 100
Trd, 000070.463, 100
Trd, 000070.663, 100
Trd, 000070.763, 99
Trd, 000071.463, 101
Trd, 000074.413, 99
Trd, 000075.213, 98
Trd, 000075.938, 98
Trd, 000076.938, 99
Trd, 000077.425, 101
Trd, 000080.638, 102
Trd, 000087.638, 105
Trd, 000089.363, 100
Trd, 000090.100, 100
Trd, 000093.100, 105
Trd, 000093.888, 101
Trd, 000094.850, 104
Trd, 000095.763, 106
Trd, 000096.625, 104
Trd, 000096.675, 102
Trd, 000097.675, 101
Trd, 000099.375, 101
Trd, 000100.563, 101
Trd, 000105.163, 100
Trd, 000105.850, 99
Trd, 000107.138, 99
Trd, 000109.663, 98
Trd, 000111.875, 99
Trd, 000111.925, 99
Trd, 000114.400, 100
Trd, 000115.763, 100
Trd, 000117.463, 98
Trd, 000117.950, 98
Trd, 000118.463, 102
Trd, 000120.125, 98
Trd, 000120.550, 97
Trd, 000122.163, 96
Trd, 000127.163, 98
Trd, 000128.150, 97
Trd, 000128.413, 98
Trd, 000130.500, 97
Trd, 000132.738, 98
Trd, 000133.525, 97
Trd, 000136.363, 97
Trd, 000136.638, 97
Trd, 000136.938, 99
Trd, 000137.238, 97
Trd, 000137.288, 96
Trd, 000138.263, 101
Trd, 000139.275, 96
Trd, 000139.700, 96
Trd, 000143.275, 96
Trd, 000143.313, 102
Trd, 000145.700, 96
Trd, 000148.100, 97
Trd, 000148.288, 98
Trd, 000150.612, 100
Trd, 000150.650, 99
Trd, 000150.900, 98
Trd, 000150.950, 103
Trd, 000153.837, 102
Trd, 000155.737, 101
Trd, 000157.262, 99
Trd, 000157.375, 97
Trd, 000160.750, 95
Trd, 000161.425, 94
Trd, 000162.750, 93
Trd, 000164.037, 94
Trd, 000164.125, 97
Trd, 000164.362, 92
Trd, 000165.987, 97
